NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 28650,47831,116000,770,3579,756,37,28650,28650,2013
ZCTA5 28651,34821,124600,537,1825,731,37,28651,28651,2013
ZCTA5 28654,37042,108900,816,1359,298,37,28654,28654,2013
ZCTA5 28655,37295,115400,621,14855,6111,37,28655,28655,2013
ZCTA5 28657,36016,125100,609,3570,798,37,28657,28657,2013
ZCTA5 28658,40405,117500,666,7064,2884,37,28658,28658,2013
ZCTA5 28659,30191,105200,565,5509,2637,37,28659,28659,2013
ZCTA5 28660,48224,116500,680,614,139,37,28660,28660,2013
ZCTA5 28663,36000,153600,-666666666,245,49,37,28663,28663,2013
ZCTA5 28665,42661,168100,688,876,130,37,28665,28665,2013
ZCTA5 28668,44962,304900,-666666666,175,0,37,28668,28668,2013
ZCTA5 28669,29467,100600,627,961,342,37,28669,28669,2013
ZCTA5 28670,27371,90200,441,1020,255,37,28670,28670,2013
ZCTA5 28673,61741,267200,1044,1831,385,37,28673,28673,2013
ZCTA5 28675,33411,152800,537,1916,780,37,28675,28675,2013
ZCTA5 28676,35226,117100,693,1253,260,37,28676,28676,2013
ZCTA5 28677,34793,113100,717,8042,4057,37,28677,28677,2013
ZCTA5 28678,41204,96500,625,1404,569,37,28678,28678,2013
ZCTA5 28679,32204,144500,803,590,275,37,28679,28679,2013
ZCTA5 28681,39819,122100,577,7445,2259,37,28681,28681,2013
ZCTA5 28682,59107,366000,967,402,72,37,28682,28682,2013
ZCTA5 28683,38323,91500,726,669,96,37,28683,28683,2013
ZCTA5 28684,40385,171700,807,898,154,37,28684,28684,2013
ZCTA5 28685,39671,105100,688,614,65,37,28685,28685,2013
ZCTA5 28689,49104,150800,235,576,141,37,28689,28689,2013
ZCTA5 28690,40316,119000,485,2942,978,37,28690,28690,2013
ZCTA5 28692,46667,194800,869,1164,444,37,28692,28692,2013
ZCTA5 28693,47722,158800,-666666666,561,31,37,28693,28693,2013
ZCTA5 28694,35476,158600,667,2528,1041,37,28694,28694,2013
ZCTA5 28697,39945,156500,562,3826,1493,37,28697,28697,2013
ZCTA5 28698,46779,165200,587,613,271,37,28698,28698,2013
ZCTA5 28701,51027,188900,648,1263,256,37,28701,28701,2013
ZCTA5 28702,31635,155700,-666666666,196,16,37,28702,28702,2013
ZCTA5 28704,60077,198800,862,5386,2973,37,28704,28704,2013
ZCTA5 28705,36023,120500,538,2202,661,37,28705,28705,2013
ZCTA5 28707,54000,328600,-666666666,50,0,37,28707,28707,2013
ZCTA5 28708,38889,223400,-666666666,215,23,37,28708,28708,2013
ZCTA5 28709,31406,162700,490,712,167,37,28709,28709,2013
ZCTA5 28711,42271,194100,777,3193,1886,37,28711,28711,2013
ZCTA5 28712,40732,173200,635,5573,2219,37,28712,28712,2013
ZCTA5 28713,43855,142600,630,2778,835,37,28713,28713,2013
ZCTA5 28714,39232,136400,635,5277,1548,37,28714,28714,2013
ZCTA5 28715,43690,161900,721,7492,2817,37,28715,28715,2013
ZCTA5 28716,42557,139500,710,5707,1629,37,28716,28716,2013
ZCTA5 28717,49886,454900,881,746,162,37,28717,28717,2013
ZCTA5 28718,49274,320500,-666666666,131,17,37,28718,28718,2013
ZCTA5 28721,29631,153100,676,2990,1393,37,28721,28721,2013
ZCTA5 28722,43841,166500,668,1853,1036,37,28722,28722,2013
ZCTA5 28723,23613,173800,579,1495,1827,37,28723,28723,2013
ZCTA5 28726,25283,111100,750,890,598,37,28726,28726,2013
